90,81,33,27,72
39,3,14,24,10
6,71,10,80,1
97,64,77,52,14
52,54,69,51,34
63,27,63,15,89
22,52,75,10,31
10,94,49,17,54
91,75,27,55,22
93,31,31,19,21
54,48,81,67,87
62,71,22,99,99
80,28,10,36,89
32,94,1,72,46
8,81,88,29,56
20,43,19,56,5
20,96,56,92,62
88,8,79,25,28
31,55,1,16,8
4,45,54,71,7
100,71,25,2,76
12,66,22,18,27
56,65,27,25,81
5,41,89,64,30
87,96,12,45,52
86,25,38,3,96
25,72,62,43,78
8,8,8,89,63
36,5,14,44,50
12,72,47,44,82
75,52,57,31,85
42,67,35,44,13
57,8,18,40,12
100,59,63,53,81
13,68,42,26,37
1,65,64,79,81
83,2,15,85,40
40,2,98,57,52
91,54,56,7,71
88,99,13,11,62
61,75,98,14,8
59,89,9,56,95
57,51,82,45,43
20,48,95,36,83
32,35,94,23,12
77,77,45,90,65
15,67,28,93,87
6,64,1,76,40
62,15,95,48,88
77,47,40,10,75
97,91,86,23,60
25,78,29,53,10
91,6,51,2,35
13,12,73,15,18
92,61,31,89,53
30,98,87,91,87
18,85,71,34,22
100,68,94,9,98
80,77,89,2,40
48,53,47,19,1
19,54,42,33,28
11,16,24,11,41
5,74,30,26,6
53,47,49,37,71
94,31,16,34,75
45,93,30,58,20
21,44,59,37,10
60,48,78,82,56
35,73,53,98,43
38,9,97,9,86
16,100,59,60,3
73,65,49,56,25
62,19,79,57,45
81,24,96,30,74
33,78,21,34,92
30,16,34,39,72
95,30,65,26,42
46,64,48,39,89
35,36,10,44,73
57,54,59,45,86
1,73,22,10,73
15,30,90,45,86
71,66,60,24,13
88,65,1,13,83
44,17,31,98,15
63,4,18,13,36
59,22,8,11,54
16,17,62,26,57
86,43,20,15,44
26,3,96,12,38
21,28,33,43,63
73,13,39,83,60
66,64,15,41,66
77,90,94,69,60
67,55,62,8,48
20,93,58,33,11
44,39,48,17,72
61,64,62,23,56
48,97,87,41,80
17,62,24,61,4
