14,49,74,63,77
57,13,90,11,12
64,60,36,38,55
72,38,81,73,40
59,46,47,10,76
83,39,48,24,45
79,59,23,96,2
32,29,75,56,32
92,29,56,48,55
47,29,91,11,63
17,76,28,28,16
87,39,80,18,90
66,89,98,20,78
3,80,30,41,66
71,72,96,39,33
26,22,60,15,56
73,33,38,24,13
67,91,75,64,85
21,93,16,34,100
5,53,94,61,54
52,18,61,35,36
57,15,54,2,33
80,60,99,74,72
85,34,43,53,13
84,80,6,41,70
75,53,8,51,44
46,23,54,78,37
84,88,79,98,9
50,88,31,26,60
63,37,7,32,50
69,91,48,7,31
18,22,2,90,97
39,4,75,57,40
73,8,70,1,77
43,70,36,38,43
3,18,32,34,87
14,97,47,42,10
51,94,19,98,74
91,83,98,55,63
70,58,66,98,4
65,38,39,98,18
100,36,8,82,3
83,82,52,89,98
20,72,76,41,27
8,40,62,22,56
97,27,56,25,26
85,73,26,13,5
37,43,49,48,18
47,8,14,87,94
32,65,15,78,40
17,52,94,84,96
56,85,25,46,9
97,57,3,33,76
55,13,93,13,12
18,85,47,18,87
14,12,49,38,78
89,80,23,33,17
46,24,32,70,1
46,29,50,96,2
78,36,91,49,56
33,9,96,7,18
34,75,54,19,9
29,33,61,2,65
59,24,69,35,91
92,57,74,3,12
6,79,63,15,86
64,23,24,47,67
2,53,36,10,38
66,21,71,79,69
18,11,4,23,43
3,73,5,48,26
3,68,65,51,53
80,48,48,12,9
20,32,35,33,56
51,33,29,38,50
16,34,2,83,73
8,42,82,79,71
15,60,85,81,3
84,35,93,93,24
29,95,40,15,91
92,63,96,43,68
60,70,19,52,12
78,88,54,92,35
100,67,77,2,77
7,50,18,14,75
42,5,85,85,95
17,82,37,97,39
81,32,16,99,7
46,9,94,95,92
50,2,98,17,35
47,25,58,14,40
42,46,34,10,39
83,15,32,76,57
100,37,88,23,46
83,70,37,43,46
55,91,2,92,52
85,84,87,27,35
27,47,31,30,54
41,39,87,96,92
28,58,44,54,80
