68,13,71,79,2
52,27,94,10,30
62,72,91,65,1
66,9,35,90,89
77,85,78,67,78
13,42,55,96,12
57,8,7,77,18
62,95,72,6,41
6,14,36,7,59
67,87,24,98,49
41,45,97,4,85
54,31,78,46,67
69,85,59,77,48
44,23,34,5,41
85,57,14,9,6
12,91,53,52,51
73,74,62,49,47
1,81,46,84,41
23,26,2,45,99
21,7,3,89,63
13,71,13,49,7
88,95,54,75,49
56,76,32,10,71
60,9,13,30,47
33,21,85,35,78
18,55,18,65,86
36,2,82,17,96
98,68,11,4,18
51,79,22,65,80
97,74,55,13,88
25,10,54,15,45
47,5,1,40,26
28,44,60,3,43
68,59,63,49,3
3,18,5,72,27
56,75,22,16,1
55,63,51,65,21
85,68,11,48,67
43,16,81,32,67
72,11,19,97,76
17,78,83,42,10
96,36,72,42,43
47,30,13,8,95
56,48,27,81,14
91,24,58,36,18
43,18,26,70,4
22,91,23,3,79
39,95,49,2,59
61,91,35,75,83
59,90,20,94,14
62,64,51,51,89
50,82,53,42,33
71,63,80,93,93
70,15,24,32,39
38,36,94,92,4
7,77,51,51,30
99,65,12,45,30
33,89,17,39,31
26,61,26,40,51
8,6,60,12,28
91,39,93,92,12
22,64,76,90,74
84,54,24,71,87
65,51,53,2,59
6,67,77,55,58
35,75,74,50,58
10,2,56,69,69
35,93,29,72,13
45,55,10,47,42
19,66,66,40,56
5,48,8,6,47
65,17,13,90,3
6,82,95,86,14
53,25,47,50,59
94,68,65,3,45
12,38,17,48,33
79,52,30,56,27
41,8,2,99,77
97,64,62,40,2
49,88,40,25,56
98,13,53,37,50
90,33,45,92,39
28,4,100,41,90
31,49,28,58,71
6,68,86,49,79
82,75,15,92,47
89,48,98,100,20
64,39,39,17,57
3,19,14,40,28
11,27,4,88,76
83,44,81,100,49
33,54,99,19,89
91,23,34,44,31
79,48,35,88,56
56,86,11,20,95
56,78,88,13,13
8,53,71,58,74
16,40,42,6,35
52,24,55,51,82
65,29,54,38,88
