block,read_write,timestamp
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291868,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291869,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291870,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291871,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291872,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291873,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291874,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
10291875,r,1858845878658
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59586,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59587,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59588,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59589,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59590,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59591,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59592,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59593,r,1858867449388
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59594,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59595,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
59596,r,1858867482009
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690174,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
5690175,r,1858867482083
