65,993,3
75,124,293
83,285,14
94,747,281
21,528,53
61,489,329
59,56,29
59,760,3
43,153,230
83,648,337
69,849,265
57,272,233
67,710,209
36,860,307
22,823,268
3,676,246
77,838,297
37,628,234
66,59,280
59,299,296
77,858,123
74,502,328
9,773,23
73,402,5
43,496,228
49,892,267
58,982,273
9,89,299
66,615,197
87,992,63
24,302,83
3,59,102
43,221,314
18,869,151
57,520,185
94,706,75
89,471,249
82,385,174
3,893,109
89,148,280
23,67,106
42,858,56
84,439,215
48,59,280
86,389,47
58,61,335
66,254,39
39,919,105
63,304,145
62,249,96
85,165,291
89,870,161
6,192,53
30,996,116
59,589,160
99,626,225
91,796,77
88,705,90
81,386,130
68,715,308
62,241,151
89,257,145
89,551,125
22,312,35
75,243,53
21,912,264
44,441,130
19,347,160
90,927,88
21,374,224
67,995,340
72,965,134
25,959,119
37,294,78
63,399,313
53,602,267
18,425,249
66,184,15
39,315,270
6,358,193
56,362,115
1,871,329
86,918,156
70,396,113
63,77,214
48,350,266
23,97,323
30,739,90
49,40,14
24,977,19
51,463,196
53,131,308
86,619,200
34,43,330
76,272,260
85,262,7
59,304,129
75,681,331
83,535,55
63,286,264
12,735,243
54,518,58
40,821,207
23,986,204
58,604,100
47,321,55
35,702,221
93,854,147
58,948,98
29,622,134
5,905,56
78,183,90
43,118,176
91,928,101
75,556,286
29,961,180
71,963,102
56,539,43
62,949,126
66,462,10
3,697,202
16,998,182
20,811,87
26,426,40
90,789,19
1,152,50
100,285,150
84,436,151
12,602,146
44,102,80
77,240,176
18,501,335
39,195,282
45,663,293
72,889,152
61,614,146
96,495,263
93,394,89
77,970,259
95,282,127
98,753,297
55,886,146
61,614,201
4,289,320
11,722,310
42,759,176
33,829,333
80,167,118
70,369,41
21,935,294
19,417,219
53,124,119
79,12,267
55,141,26
6,468,9
54,844,59
40,440,69
76,446,216
46,764,101
9,330,219
60,10,123
100,681,63
93,121,84
10,607,220
30,409,98
87,442,142
66,835,2
78,530,331
79,332,11
43,11,86
72,223,202
78,841,165
73,798,51
60,706,10
55,562,4
37,633,238
80,588,211
61,663,292
95,780,256
38,929,123
3,675,38
82,732,317
56,749,208
69,355,268
6,137,161
49,436,155
20,460,328
74,120,329
42,861,325
14,362,137
78,924,284
82,977,105
44,968,204
37,898,303
94,682,320
12,191,95
86,910,140
88,59,306
8,170,129
93,498,36
31,902,66
87,103,281
18,605,179
84,346,133
52,562,210
71,693,292
19,924,227
13,869,84
15,188,267
57,288,265
74,168,216
31,422,335
24,751,246
97,135,288
82,955,233
92,367,147
13,356,294
35,707,128
57,947,171
53,922,145
29,287,322
18,589,24
61,832,90
43,954,76
7,45,86
83,514,243
98,725,284
6,318,280
72,671,138
47,749,209
76,574,51
35,357,319
84,373,262
51,902,38
32,779,278
35,839,3
20,541,311
46,802,205
43,54,169
46,615,126
7,736,289
48,656,171
92,25,208
88,765,63
93,918,162
20,478,174
68,37,273
21,518,184
32,137,11
23,769,183
21,803,34
81,491,130
23,340,223
41,13,216
67,459,256
84,604,332
88,361,133
57,294,329
43,70,203
56,451,309
8,858,298
33,846,17
32,930,229
40,743,2
73,277,52
11,963,3
6,205,131
60,940,208
83,912,279
2,346,68
57,497,119
10,813,85
60,654,326
18,192,336
23,916,322
71,325,200
72,131,227
88,535,15
33,30,329
89,781,225
39,365,250
46,243,100
58,565,213
56,125,149
92,655,14
45,14,96
76,685,144
41,776,238
53,193,223
47,662,199
6,914,317
16,501,107
31,904,38
20,570,112
5,713,202
94,321,54
33,465,18
82,584,142
64,318,28
14,985,202
84,880,203
92,903,263
52,2,310
47,14,10
73,297,207
9,335,337
49,598,182
98,623,318
90,706,181
95,464,284
85,485,23
33,545,5
35,897,50
62,22,232
75,428,293
46,403,100
75,284,217
67,805,79
33,957,98
61,749,250
100,252,330
62,731,22
61,62,28
15,739,169
48,16,332
5,22,106
61,146,279
8,586,77
43,338,324
34,502,171
15,469,205
80,354,285
35,447,20
72,757,270
77,546,214
39,386,219
68,956,123
89,595,83
89,909,210
55,335,177
76,407,253
84,969,84
8,81,289
92,637,141
67,355,27
97,356,137
6,801,6
46,464,73
69,764,110
35,840,241
76,843,241
17,18,292
31,789,76
33,281,82
56,928,180
39,922,321
87,402,132
83,426,30
82,239,44
18,807,205
32,889,94
76,267,110
98,605,175
6,966,58
4,562,298
2,732,77
49,634,214
34,674,83
46,123,271
34,487,56
77,725,167
15,53,323
20,714,311
83,727,9
55,829,322
91,554,266
8,752,319
30,528,117
30,639,271
35,74,177
28,21,248
30,548,123
9,457,239
89,879,310
99,490,125
28,455,102
58,434,171
75,904,319
34,376,3
37,537,328
81,599,36
22,556,48
55,880,319
93,328,135
76,542,172
96,210,323
11,637,108
31,418,328
37,625,137
11,541,262
75,680,254
77,126,323
41,492,32
79,300,293
18,182,168
71,17,51
2,331,147
56,392,116
15,520,62
20,688,193
67,755,106
100,577,247
82,675,220
14,70,181
27,291,305
52,815,13
33,987,34
69,544,67
17,794,76
54,891,130
60,347,286
34,816,247
100,425,4
67,507,98
27,427,86
11,376,223
13,500,56
4,552,310
48,569,197
96,650,277
51,664,109
68,723,61
24,14,184
24,478,267
62,573,225
83,589,190
84,707,201
2,344,167
14,764,57
78,995,220
81,190,186
29,551,48
53,318,17
56,388,307
75,307,12
14,129,14
55,370,281
76,50,155
92,851,189
5,166,278
19,490,179
57,549,142
70,319,69
83,536,78
100,432,132
40,534,44
41,854,316
74,10,167
46,941,238
12,692,172
30,782,300
6,374,224
35,935,56
59,174,134
27,42,144
88,46,115
51,212,94
98,797,206
70,366,175
89,324,172
94,189,235
37,661,113
28,361,189
72,394,293
95,165,233
28,375,168
65,73,183
64,673,255
49,716,52
42,978,169
27,77,185
90,545,325
35,242,101
28,720,28
23,64,223
25,573,228
82,738,123
14,625,215
66,361,326
55,727,152
94,737,265
48,27,246
17,349,74
67,532,338
55,586,82
86,315,48
13,767,86
12,880,319
75,90,291
39,86,186
